school_id,school_name,year,student_health_index,student_wellbeing_score,mental_health_referral_rate,survey_response_count,survey_source_note
S001,Maple Grove Elementary,2019,70.8,69.8,3.2,66,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S001,Maple Grove Elementary,2020,73.7,70.3,3.15,64,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S001,Maple Grove Elementary,2021,77.2,73.0,3.03,64,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S001,Maple Grove Elementary,2022,79.0,75.3,3.31,67,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S001,Maple Grove Elementary,2023,79.8,75.7,3.11,67,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S001,Maple Grove Elementary,2024,80.2,76.6,3.1,68,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S002,Rivera Middle School,2019,72.3,66.2,3.91,102,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S002,Rivera Middle School,2020,72.6,66.4,3.92,100,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S002,Rivera Middle School,2021,76.3,68.6,3.89,100,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S002,Rivera Middle School,2022,79.4,71.9,3.86,102,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S002,Rivera Middle School,2023,80.9,74.3,3.84,103,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S002,Rivera Middle School,2024,81.9,75.0,3.98,104,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S003,Cedar Valley High,2019,66.2,60.2,4.3,116,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S003,Cedar Valley High,2020,66.9,60.4,4.27,114,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S003,Cedar Valley High,2021,68.3,61.9,4.18,112,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S003,Cedar Valley High,2022,71.1,63.1,4.29,116,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S003,Cedar Valley High,2023,71.6,64.6,4.16,117,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S003,Cedar Valley High,2024,71.7,64.1,4.2,118,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S004,Juniper Ridge Elementary,2019,72.0,67.7,3.81,51,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S004,Juniper Ridge Elementary,2020,71.6,67.3,3.81,49,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S004,Juniper Ridge Elementary,2021,73.0,67.1,3.88,48,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S004,Juniper Ridge Elementary,2022,76.9,71.3,3.83,51,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S004,Juniper Ridge Elementary,2023,79.4,71.8,3.84,52,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S004,Juniper Ridge Elementary,2024,81.2,75.8,3.73,53,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S005,Harborview K-8,2019,67.7,65.2,4.02,87,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S005,Harborview K-8,2020,68.6,64.9,4.06,86,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S005,Harborview K-8,2021,70.6,68.4,3.86,85,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S005,Harborview K-8,2022,74.5,70.0,4.16,88,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S005,Harborview K-8,2023,76.2,70.8,3.96,89,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S005,Harborview K-8,2024,76.6,72.0,4.06,89,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S006,Lincoln High School,2019,63.6,59.3,3.91,141,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S006,Lincoln High School,2020,64.1,59.2,3.9,140,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S006,Lincoln High School,2021,65.2,59.9,4.01,139,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S006,Lincoln High School,2022,67.7,63.6,4.04,143,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S006,Lincoln High School,2023,70.9,66.1,3.85,143,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
S006,Lincoln High School,2024,73.1,67.5,3.93,144,"Fictional aggregate school-year survey extract for teaching. Index scores are school-level aggregates; mental_health_referral_rate is service contacts per 100 students, not diagnoses."
