record_id,record_year,project_title,organization_name,organization_role_raw,organization_note
R001,2019,Maple Grove Lunch Line Refresh,Maple Grove Elementary,school meal program lead,School cafeteria team led the cafeteria modernization workflow at the site.
R002,2019,Maple Grove Lunch Line Refresh,Riverton USD Nutrition Services,district sponsor,"District office coordinated the application, signatures, and state reporting."
R003,2019,Maple Grove Lunch Line Refresh,CoolTray Equipment LLC,kitchen equipment vendor,Supplied cafeteria equipment listed in the modernization award.
R004,2019,Maple Grove Lunch Line Refresh,Harvest Table Advisors,grant compliance advisor,"Prepared reimbursement, invoice, and grant closeout documentation."
R005,2019,Maple Grove Lunch Line Refresh,BrightBite Foods,meal service vendor,Provided prepared meals or temporary menu service during installation.
R006,2020,Rivera Salad Bar Launch,Rivera Middle School,school meal program lead,School cafeteria team led the student-facing salad bar launch at the site.
R007,2020,Rivera Salad Bar Launch,Riverton USD Nutrition Services,district sponsor,"District office coordinated the application, signatures, and state reporting."
R008,2020,Rivera Salad Bar Launch,FreshFork Cooperative,produce supplier,"Supplied seasonal produce, fruit cups, or salad ingredients."
R009,2020,Rivera Salad Bar Launch,Harvest Table Advisors,grant compliance advisor,Advised on grant narrative and reimbursement documentation; did not lead site implementation.
R010,2020,Rivera Salad Bar Launch,Student Wellness League,nutrition education partner,"Led student taste tests, wellness lessons, and menu feedback activities."
R011,2020,Harborview Cooler Repair,Harborview K-8,school meal program lead,School cafeteria team led the cold storage and produce service workflow at the site.
R012,2020,Harborview Cooler Repair,Bay City Schools Food Services,district nutrition office,District nutrition office supported procurement and implementation logistics.
R013,2020,Harborview Cooler Repair,Northstar Refrigeration,refrigeration contractor,Repaired or installed cold storage equipment and temperature controls.
R014,2020,Harborview Cooler Repair,Metro MealWorks,meal service vendor,Provided prepared meals or temporary menu service during installation.
R015,2020,Harborview Cooler Repair,KitchenBridge Partners,unclear role,Ambiguous planning mention; scope unclear and not documented as school meal-program leadership.
R016,2021,Juniper Scratch Cooking Prep,Juniper Ridge Elementary,school meal program lead,School cafeteria team led the scratch-cooking equipment rollout at the site.
R017,2021,Juniper Scratch Cooking Prep,Cedar Valley SD Nutrition,district sponsor,"District office coordinated the application, signatures, and state reporting."
R018,2021,Juniper Scratch Cooking Prep,ChefReady Installers,kitchen installer,Installed kitchen equipment and supported the scheduled training day.
R019,2021,Juniper Scratch Cooking Prep,GreenCart Learning,nutrition education partner,"Led student taste tests, wellness lessons, and menu feedback activities."
R020,2021,Juniper Scratch Cooking Prep,Oak & Ladle Consulting,advisor consultant,Designed evaluation materials and survey instruments; did not lead cafeteria operations.
R021,2021,Sunrise Tray Return Project,Sunrise STEM Academy,school meal program lead,School cafeteria team led the tray return and reusable service workflow at the site.
R022,2021,Sunrise Tray Return Project,North Valley Public Nutrition,district nutrition office,District nutrition office supported procurement and implementation logistics.
R023,2021,Sunrise Tray Return Project,CleanPlate Systems,dishwasher vendor,"Supplied dishwasher, tray return, or wash-station equipment."
R024,2021,Sunrise Tray Return Project,GreenCart Learning,nutrition education partner,"Led student taste tests, wellness lessons, and menu feedback activities."
R025,2021,Sunrise Tray Return Project,KitchenBridge Partners,possible implementation partner,Possible support role; capacity unclear and no signed scope in the notes.
R026,2022,Rosa Parks Cold Bar,Rosa Parks Elementary,school meal program lead,School cafeteria team led the cold storage and produce service workflow at the site.
