firm_id,firm_name,name_variants,industry,revenue_2019,revenue_2020,revenue_2021,revenue_2022,revenue_2023,revenue_2024
F001,BlueWave Insurance,"BlueWave Ins.|Blue Wave Insurance Co.",Insurance,4200,4310,4450,4625,4810,5035
F002,Harbor Retail Group,"Harbor Retail|Harbor Retail Holdings",Retail,3150,3010,3275,3510,3680,3860
F003,Northstar Foods LLC,"North Star Foods|Northstar Foods",Food Manufacturing,1180,1215,1290,1365,1440,1515
F004,Vertex Components Inc.,"Vertex Components|Vertex Comp.",Industrial Manufacturing,890,905,960,1015,1090,1165
F005,Cobalt Cloud Services,"Cobalt Cloud|Cobalt Cloud Svcs",Software,2450,2635,2890,3180,3525,3890
F006,Redwood Utilities,"Redwood Utility Co.|Redwood Utilities Inc.",Electric Utility,5100,5225,5350,5520,5710,5905
F007,Meridian Bank,"Meridian National Bank|Meridian Bank NA",Banking,3760,3825,3975,4160,4305,4490
F008,Atlas Steel Holdings,"Atlas Steel|Atlas Steel Hldgs.",Metals Manufacturing,2140,2055,2195,2330,2485,2610
F009,SunRidge Developers,"SunRidge Solar Dev.|SunRidge Development",Clean-Energy Developer,640,710,805,930,1040,1160
F010,Pioneer Health Systems,"Pioneer Health|Pioneer Health Sys.",Healthcare,2820,2940,3095,3260,3415,3590
