school_id,school_name,name_variants,district_name,grades_served,urbanicity,enrollment_2019,enrollment_2020,enrollment_2021,enrollment_2022,enrollment_2023,enrollment_2024,lunch_participation_rate_2019,lunch_participation_rate_2020,lunch_participation_rate_2021,lunch_participation_rate_2022,lunch_participation_rate_2023,lunch_participation_rate_2024,healthy_meal_score_2019,healthy_meal_score_2020,healthy_meal_score_2021,healthy_meal_score_2022,healthy_meal_score_2023,healthy_meal_score_2024
S001,Maple Grove Elementary,Maple Grove Elem.|Maple Grove ES,Riverton USD,K-5,Suburban,409,399,406,402,415,423,64.3,61.5,60.6,66.5,66.4,68.5,71.2,70.7,72.4,76.4,78.8,81.5
S002,Rivera Middle School,Rivera MS|Rivera Mid.,Riverton USD,6-8,Suburban,636,638,631,647,671,671,51.1,50.1,51.4,56.1,56.9,57.1,62.3,61.5,63.6,70.0,72.2,72.2
S003,Cedar Valley High,Cedar Valley HS|Cedar Vly High,Cedar Valley SD,9-12,Rural,726,717,704,724,724,727,44.9,43.3,43.4,44.8,45.6,45.6,47.9,45.6,49.7,53.0,51.4,52.6
S004,Juniper Ridge Elementary,Juniper Ridge Elem.|Juniper Ridge ES,Cedar Valley SD,K-5,Rural,315,302,306,316,328,333,58.9,56.3,60.0,64.7,66.4,67.2,61.1,61.7,62.1,71.2,72.3,72.5
S005,Harborview K-8,Harbor View K8|Harborview School,Bay City Schools,K-8,Urban,542,520,520,538,548,552,56.7,54.0,55.0,61.7,62.2,61.9,56.9,60.0,61.4,66.1,69.9,73.3
S006,Lincoln High School,Lincoln HS|Lincoln High,Bay City Schools,9-12,Urban,892,893,879,894,924,931,43.3,43.2,42.9,46.4,48.8,50.0,47.1,48.8,51.0,55.6,58.8,62.0
S007,Sunrise STEM Academy,Sunrise Academy|Sunrise STEM,North Valley Public,K-8,Suburban,477,464,462,472,481,473,55.5,54.2,55.8,56.5,61.9,61.5,60.8,56.9,57.7,65.2,66.8,68.6
S008,North Creek Middle,North Creek MS|N. Creek Middle,North Valley Public,6-8,Suburban,600,587,581,605,615,610,53.9,52.1,53.3,59.1,56.4,59.2,55.8,57.1,57.9,62.1,62.9,64.6
S009,Rosa Parks Elementary,Rosa Parks Elem.|Rosa Parks ES,Metro Unified,K-5,Urban,389,378,387,385,392,396,58.5,59.1,60.0,63.2,66.7,68.0,61.4,62.2,63.3,71.6,73.5,72.7
S010,Orchard Hill School,Orchard Hill Elem.|Orchard Hill,Metro Unified,K-6,Urban,419,415,415,410,430,427,59.6,59.2,58.1,63.4,63.6,65.7,58.5,58.0,60.3,64.7,69.8,69.0
S011,Prairie View High,Prairie View HS|Prairie Vw High,Prairie County,9-12,Rural,513,510,494,519,525,515,42.3,42.0,41.6,46.0,48.4,49.4,45.1,45.8,49.2,54.9,56.5,58.2
S012,Lakefront Elementary,Lakefront Elem.|Lake Front ES,Prairie County,K-5,Rural,273,262,265,270,270,281,61.7,61.1,62.4,64.4,67.2,67.3,66.9,67.9,71.4,73.8,72.4,76.5
S013,Mission Trails Middle,Mission Trails MS|Mission Trls Middle,Mission USD,6-8,Suburban,566,551,556,573,589,600,52.2,50.8,50.8,57.4,58.6,60.0,58.1,60.4,62.5,70.1,73.0,74.1
S014,Eastside Community School,Eastside Community|East Side School,Mission USD,K-8,Urban,684,682,681,708,710,727,57.2,52.5,54.9,59.2,62.8,62.1,59.1,56.7,59.6,63.7,63.4,66.6
S015,Willow Bend Elementary,Willow Bend Elem.|Willow Bend ES,Oak River Schools,K-5,Suburban,334,327,328,341,346,345,59.9,59.2,59.8,63.5,66.7,66.8,65.7,66.3,67.3,74.1,74.1,75.3
S016,Granite Peak High,Granite Peak HS|Granite Pk High,Oak River Schools,9-12,Suburban,758,752,744,783,789,803,42.1,40.7,41.3,48.7,49.7,49.2,51.9,50.3,51.3,58.8,62.5,61.5
S017,Bay Meadow Middle,Bay Meadow MS|Bay Meadow Mid.,Coastal Unified,6-8,Urban,630,614,607,628,648,664,54.0,53.0,53.1,58.6,60.4,61.0,54.0,53.8,54.3,61.5,63.5,65.2
S018,Chavez Arts Academy,Cesar Chavez Arts|Chavez Academy,Coastal Unified,K-8,Urban,535,525,523,523,526,530,59.5,58.4,56.8,63.5,66.0,66.7,57.5,61.5,59.1,63.8,67.0,65.7
S019,South Fork Elementary,South Fork Elem.|South Fork ES,South Fork SD,K-5,Rural,308,291,289,301,302,316,64.3,61.9,61.1,67.5,69.4,66.7,58.4,59.1,60.0,64.2,64.5,67.2
S020,New Horizons High,New Horizons HS|New Horizon High,South Fork SD,9-12,Rural,454,446,449,460,470,478,40.2,39.8,43.5,47.1,51.4,50.2,44.1,46.0,45.6,53.5,54.3,58.8
S021,Aspen Ridge Elementary,Aspen Ridge Elem.|Aspen Ridge ES,Evergreen USD,K-5,Suburban,349,340,331,347,339,343,61.9,57.9,59.5,60.8,62.3,62.3,67.3,68.3,69.1,69.9,74.7,72.9
S022,Brookside Middle School,Brookside MS|Brookside Mid.,Evergreen USD,6-8,Suburban,617,609,607,631,632,649,49.6,49.4,51.0,55.1,54.7,55.5,58.1,61.8,62.1,66.5,70.5,71.6
S023,Canyon View High,Canyon View HS|Canyon View High,Mesa County Schools,9-12,Rural,744,736,718,731,753,753,45.9,44.4,45.8,50.0,55.6,52.4,48.7,47.0,49.9,55.0,57.8,57.4
S024,Desert Springs K-8,Desert Springs K8|Desert Springs School,Mesa County Schools,K-8,Rural,470,466,464,475,485,505,53.2,53.4,53.4,60.6,60.5,60.8,56.8,54.9,57.9,64.4,69.3,66.4
S025,Oak Terrace Elementary,Oak Terrace Elem.|Oak Terrace ES,Lakeside Unified,K-5,Suburban,393,376,377,402,407,409,62.8,59.8,62.7,63.5,66.9,66.8,65.9,65.0,66.6,67.5,70.6,68.9
S026,Silver Lake Middle,Silver Lake MS|Silver Lake Mid.,Lakeside Unified,6-8,Suburban,562,550,541,571,573,565,59.7,55.4,55.4,62.6,65.3,63.6,62.5,61.9,65.2,71.6,73.5,74.5
S027,Washington Prep High,Washington Prep HS|Washington Prep High,Capital City Schools,9-12,Urban,824,826,815,831,849,846,43.4,42.1,43.3,45.8,46.9,44.8,49.8,49.3,52.5,54.1,55.5,56.5
S028,Franklin Elementary,Franklin Elem.|Franklin ES,Capital City Schools,K-5,Urban,473,474,463,455,471,483,62.7,60.6,61.9,62.5,65.4,65.7,65.1,65.0,71.4,70.9,72.2,74.4
S029,Mountain View K-8,Mountain View K8|Mountain View School,Foothill Public,K-8,Rural,457,453,446,468,470,490,59.8,58.1,59.9,63.0,63.9,65.4,60.2,60.1,59.8,66.9,68.3,67.3
S030,Pioneer High School,Pioneer HS|Pioneer High,Foothill Public,9-12,Rural,717,708,703,729,738,754,48.7,45.3,48.4,52.5,50.6,53.0,49.9,51.7,50.7,58.2,58.8,60.0
S031,Meadowbrook Elementary,Meadowbrook Elem.|Meadowbrook ES,Riverbend Unified,K-5,Suburban,437,430,424,445,433,429,63.5,62.4,65.1,65.9,66.7,67.5,63.5,63.2,65.7,65.5,69.9,68.8
S032,Riverside Arts Middle,Riverside Arts MS|Riverside Arts Mid.,Riverbend Unified,6-8,Urban,653,636,632,651,653,666,54.2,50.5,54.4,56.8,58.7,61.0,60.3,59.1,64.5,65.1,69.5,70.9
S033,Sequoia High,Sequoia HS|Sequoia High,Redwoods Joint USD,9-12,Rural,735,717,704,707,716,720,42.1,39.2,43.5,44.0,45.5,47.4,51.8,44.7,50.0,52.9,51.7,53.3
S034,Pinecrest Elementary,Pinecrest Elem.|Pinecrest ES,Redwoods Joint USD,K-5,Rural,272,272,265,266,262,269,59.3,61.8,61.5,65.1,68.1,67.4,68.9,67.5,70.5,72.3,75.0,75.4
